CaseMasterID,CrimeNo,CrimeRegisteredDate,PoliceStationID,CrimeMajorHeadID,GravityOffenceID,latitude,longitude,BriefFacts
17,KSP/2023/8787,2023-01-26,71,12,4,12.978326,77.637449,FIR lodged following communal offences incident. Victim sustained minor injuries.
18,KSP/2023/7118,2023-09-17,57,3,3,12.904832,77.600453,Anonymous tip received regarding vehicle theft. Investigation initiated.
19,KSP/2022/4770,2022-03-07,76,14,3,12.935272,77.629956,Patrol unit responded to domestic violence call. One suspect apprehended.
20,KSP/2022/9423,2022-04-08,31,4,4,12.96425,77.586664,Anonymous tip received regarding assault & violence. Investigation initiated.
21,KSP/2026/8749,2026-01-08,53,5,5,12.91188,77.618632,FIR lodged following narcotics incident. Victim sustained minor injuries.
22,KSP/2025/2612,2025-12-21,8,3,3,12.957309,77.60121,Complainant reported vehicle theft at BTM Layout. Suspect fled the scene.
23,KSP/2023/3296,2023-08-14,55,7,5,12.977121,77.741237,Patrol unit responded to robbery & dacoity call. One suspect apprehended.
24,KSP/2022/9856,2022-11-01,2,3,3,12.939386,77.620287,Complainant reported vehicle theft at BTM Layout. Suspect fled the scene.
25,KSP/2026/7570,2026-02-17,8,15,5,12.915258,77.642637,child offences reported near Koramangala. CCTV footage under review.
26,KSP/2025/8973,2025-11-14,20,3,3,12.945132,77.616378,Anonymous tip received regarding vehicle theft. Investigation initiated.
27,KSP/2022/1821,2022-07-09,75,3,3,12.998638,77.615991,Anonymous tip received regarding vehicle theft. Investigation initiated.
28,KSP/2026/2122,2026-04-27,77,8,3,12.904964,77.649002,Complainant reported fraud & cheating at Whitefield. Suspect fled the scene.
29,KSP/2024/1651,2024-02-04,80,2,3,12.880586,77.670322,Patrol unit responded to property theft call. One suspect apprehended.
30,KSP/2024/6147,2024-03-21,31,2,3,13.009801,77.545787,FIR lodged following property theft incident. Victim sustained minor injuries.
31,KSP/2022/2638,2022-08-14,10,5,5,12.961478,77.581465,Complainant reported narcotics at Yelahanka. Suspect fled the scene.
32,KSP/2022/5669,2022-08-02,21,9,2,12.944557,77.634777,FIR lodged following unlawful assembly incident. Victim sustained minor injuries.
33,KSP/2022/2697,2022-01-25,18,8,3,12.825938,77.717765,Patrol unit responded to fraud & cheating call. One suspect apprehended.
34,KSP/2024/6617,2024-05-25,27,5,5,12.909585,77.641291,Patrol unit responded to narcotics call. One suspect apprehended.
35,KSP/2022/7939,2022-06-07,36,11,3,12.948599,77.639612,Complainant reported land disputes at BTM Layout. Suspect fled the scene.
36,KSP/2023/8007,2023-05-18,72,1,4,12.998327,77.75,cyber crime reported near Electronic City. CCTV footage under review.
37,KSP/2022/3426,2022-04-22,56,1,4,12.995698,77.57284,Anonymous tip received regarding cyber crime. Investigation initiated.
38,KSP/2022/5088,2022-05-04,86,2,3,12.991341,77.734038,Anonymous tip received regarding property theft. Investigation initiated.
39,KSP/2023/3900,2023-04-26,53,2,3,12.971436,77.629807,FIR lodged following property theft incident. Victim sustained minor injuries.
40,KSP/2024/2771,2024-02-11,49,1,4,12.972882,77.610149,Anonymous tip received regarding cyber crime. Investigation initiated.
41,KSP/2025/4728,2025-12-01,29,13,2,12.964761,77.667213,Anonymous tip received regarding missing persons. Investigation initiated.
42,KSP/2024/9346,2024-05-17,52,1,4,12.961643,77.63363,Anonymous tip received regarding cyber crime. Investigation initiated.
43,KSP/2024/5349,2024-03-22,5,11,3,12.958268,77.643098,FIR lodged following land disputes incident. Victim sustained minor injuries.
44,KSP/2026/4114,2026-05-08,33,2,3,12.968051,77.737003,Complainant reported property theft at Malleshwaram. Suspect fled the scene.
45,KSP/2023/2146,2023-09-05,86,1,4,12.942826,77.746506,Anonymous tip received regarding cyber crime. Investigation initiated.
46,KSP/2024/7691,2024-07-22,42,14,3,13.017793,77.544379,Patrol unit responded to domestic violence call. One suspect apprehended.
47,KSP/2025/5930,2025-03-23,52,7,5,12.986718,77.618437,FIR lodged following robbery & dacoity incident. Victim sustained minor injuries.
48,KSP/2024/8244,2024-09-28,87,9,2,12.967945,77.610076,unlawful assembly reported near Yelahanka. CCTV footage under review.
49,KSP/2023/9445,2023-06-12,85,4,4,12.956955,77.60894,Complainant reported assault & violence at Hebbal. Suspect fled the scene.
50,KSP/2024/4262,2024-08-22,19,10,2,12.980227,77.727159,FIR lodged following eve teasing incident. Victim sustained minor injuries.
51,KSP/2022/4185,2022-08-15,92,1,4,12.946951,77.611744,cyber crime reported near Malleshwaram. CCTV footage under review.
52,KSP/2022/7965,2022-01-18,29,11,3,12.936028,77.6464,Complainant reported land disputes at Mysuru Road. Suspect fled the scene.
53,KSP/2024/3184,2024-02-14,60,3,3,13.005215,77.619458,Complainant reported vehicle theft at Yelahanka. Suspect fled the scene.
54,KSP/2025/9270,2025-10-07,55,11,3,12.979688,77.599273,Patrol unit responded to land disputes call. One suspect apprehended.
55,KSP/2026/5050,2026-01-14,82,13,2,12.859665,77.662103,missing persons reported near Hebbal. CCTV footage under review.
56,KSP/2025/5681,2025-09-28,31,5,5,12.978959,77.581072,Complainant reported narcotics at Bannerghatta Road. Suspect fled the scene.
57,KSP/2023/3503,2023-12-20,91,5,5,12.961873,77.747856,narcotics reported near Bannerghatta Road. CCTV footage under review.
58,KSP/2022/7381,2022-07-13,99,4,4,12.961625,77.75,FIR lodged following assault & violence incident. Victim sustained minor injuries.
59,KSP/2025/6763,2025-03-27,39,10,2,13.005879,77.559983,eve teasing reported near KR Market. CCTV footage under review.
60,KSP/2023/5471,2023-11-17,56,12,4,12.974968,77.635491,communal offences reported near Koramangala. CCTV footage under review.
61,KSP/2023/9751,2023-05-28,4,9,2,12.956706,77.726477,unlawful assembly reported near Whitefield. CCTV footage under review.
62,KSP/2025/3977,2025-08-24,7,14,3,12.836635,77.671634,FIR lodged following domestic violence incident. Victim sustained minor injuries.
63,KSP/2025/7906,2025-03-23,33,5,5,12.956736,77.75,Anonymous tip received regarding narcotics. Investigation initiated.
64,KSP/2024/2124,2024-12-23,100,13,2,12.93517,77.619594,FIR lodged following missing persons incident. Victim sustained minor injuries.
65,KSP/2022/4908,2022-03-05,17,15,5,12.982692,77.59679,Patrol unit responded to child offences call. One suspect apprehended.
66,KSP/2024/2876,2024-03-07,100,8,3,12.987482,77.589191,Anonymous tip received regarding fraud & cheating. Investigation initiated.
67,KSP/2024/7149,2024-08-27,51,13,2,13.012662,77.622149,Patrol unit responded to missing persons call. One suspect apprehended.
68,KSP/2024/5941,2024-01-25,88,14,3,12.952137,77.591742,Complainant reported domestic violence at Bannerghatta Road. Suspect fled the scene.
69,KSP/2024/7071,2024-12-14,9,10,2,12.997672,77.591944,Patrol unit responded to eve teasing call. One suspect apprehended.
70,KSP/2022/8532,2022-11-24,91,9,2,12.98613,77.727298,unlawful assembly reported near Jayanagar. CCTV footage under review.
71,KSP/2026/5397,2026-02-11,42,3,3,12.950054,77.591638,vehicle theft reported near Malleshwaram. CCTV footage under review.
72,KSP/2024/7209,2024-01-28,44,13,2,12.986507,77.656052,missing persons reported near HSR Layout. CCTV footage under review.
73,KSP/2024/5526,2024-03-13,72,1,4,12.964302,77.649422,Anonymous tip received regarding cyber crime. Investigation initiated.
74,KSP/2026/4937,2026-02-26,89,1,4,13.030556,77.632264,Patrol unit responded to cyber crime call. One suspect apprehended.
75,KSP/2024/4986,2024-07-03,40,8,3,12.987349,77.580895,FIR lodged following fraud & cheating incident. Victim sustained minor injuries.
76,KSP/2024/8434,2024-10-24,35,11,3,12.956802,77.745361,Anonymous tip received regarding land disputes. Investigation initiated.
77,KSP/2023/8933,2023-07-30,36,5,5,12.973456,77.59435,FIR lodged following narcotics incident. Victim sustained minor injuries.
78,KSP/2022/4727,2022-11-09,47,11,3,12.997911,77.618114,FIR lodged following land disputes incident. Victim sustained minor injuries.
79,KSP/2022/3068,2022-06-19,82,3,3,12.959863,77.592043,Patrol unit responded to vehicle theft call. One suspect apprehended.
80,KSP/2025/6582,2025-12-29,24,13,2,12.948858,77.610445,missing persons reported near Yelahanka. CCTV footage under review.
81,KSP/2022/2213,2022-07-23,74,15,5,12.980568,77.601562,child offences reported near Yelahanka. CCTV footage under review.
82,KSP/2024/2940,2024-08-01,72,10,2,12.983021,77.610154,Complainant reported eve teasing at Koramangala. Suspect fled the scene.
83,KSP/2026/8253,2026-06-12,39,12,4,12.842616,77.666621,communal offences reported near Yelahanka. CCTV footage under review.
84,KSP/2022/4457,2022-11-05,34,13,2,13.002875,77.639643,FIR lodged following missing persons incident. Victim sustained minor injuries.
85,KSP/2022/8699,2022-01-09,38,11,3,12.97433,77.59986,land disputes reported near Yelahanka. CCTV footage under review.
86,KSP/2022/4241,2022-08-10,55,1,4,12.969733,77.636298,FIR lodged following cyber crime incident. Victim sustained minor injuries.
87,KSP/2023/3718,2023-03-18,40,2,3,12.982789,77.616692,Complainant reported property theft at KR Market. Suspect fled the scene.
88,KSP/2025/7594,2025-12-27,35,10,2,12.974194,77.632335,Anonymous tip received regarding eve teasing. Investigation initiated.
89,KSP/2025/5102,2025-09-04,4,9,2,12.938943,77.626572,Anonymous tip received regarding unlawful assembly. Investigation initiated.
90,KSP/2022/1659,2022-03-06,98,2,3,13.020093,77.603166,Anonymous tip received regarding property theft. Investigation initiated.
91,KSP/2023/9056,2023-07-18,12,12,4,12.91583,77.597301,Patrol unit responded to communal offences call. One suspect apprehended.
92,KSP/2023/9117,2023-05-15,37,8,3,12.966755,77.75,Anonymous tip received regarding fraud & cheating. Investigation initiated.
93,KSP/2022/6296,2022-10-01,15,11,3,12.97007,77.745807,Anonymous tip received regarding land disputes. Investigation initiated.
94,KSP/2025/4073,2025-12-06,67,15,5,12.925325,77.74581,child offences reported near KR Market. CCTV footage under review.
95,KSP/2023/3146,2023-09-25,37,7,5,12.972127,77.562035,Anonymous tip received regarding robbery & dacoity. Investigation initiated.
96,KSP/2024/1224,2024-01-14,71,8,3,13.019162,77.607881,FIR lodged following fraud & cheating incident. Victim sustained minor injuries.
97,KSP/2022/5781,2022-12-31,66,7,5,12.979799,77.601019,FIR lodged following robbery & dacoity incident. Victim sustained minor injuries.
98,KSP/2025/7284,2025-11-20,25,11,3,12.952944,77.75,Patrol unit responded to land disputes call. One suspect apprehended.
99,KSP/2024/9318,2024-05-08,35,14,3,12.956956,77.603895,domestic violence reported near Jayanagar. CCTV footage under review.
100,KSP/2026/9824,2026-03-02,62,13,2,12.969809,77.626226,FIR lodged following missing persons incident. Victim sustained minor injuries.
101,KSP/2024/4912,2024-09-26,74,6,5,12.823976,77.672544,FIR lodged following murder incident. Victim sustained minor injuries.
102,KSP/2026/3492,2026-01-09,64,7,5,12.948882,77.64698,robbery & dacoity reported near Malleshwaram. CCTV footage under review.
103,KSP/2022/9617,2022-11-08,59,15,5,12.984756,77.59169,child offences reported near MG Road. CCTV footage under review.
104,KSP/2022/5342,2022-08-21,44,1,4,12.998956,77.565809,cyber crime reported near Mysuru Road. CCTV footage under review.
105,KSP/2025/8994,2025-03-26,70,10,2,12.98152,77.75,Anonymous tip received regarding eve teasing. Investigation initiated.
106,KSP/2023/2612,2023-12-08,98,1,4,12.948649,77.569799,Complainant reported cyber crime at Malleshwaram. Suspect fled the scene.
107,KSP/2022/1919,2022-03-31,38,10,2,12.888346,77.658,Complainant reported eve teasing at Jayanagar. Suspect fled the scene.
108,KSP/2023/2293,2023-07-14,79,6,5,12.970364,77.75,FIR lodged following murder incident. Victim sustained minor injuries.
109,KSP/2023/5161,2023-03-21,59,13,2,12.841808,77.71008,FIR lodged following missing persons incident. Victim sustained minor injuries.
110,KSP/2023/6661,2023-05-06,76,4,4,12.982463,77.564208,Complainant reported assault & violence at Yelahanka. Suspect fled the scene.
111,KSP/2024/8916,2024-07-27,14,5,5,13.00393,77.604579,FIR lodged following narcotics incident. Victim sustained minor injuries.
112,KSP/2024/7484,2024-07-06,36,4,4,12.8,77.65569,Complainant reported assault & violence at BTM Layout. Suspect fled the scene.
113,KSP/2026/4770,2026-03-24,78,1,4,12.917156,77.610197,Anonymous tip received regarding cyber crime. Investigation initiated.
114,KSP/2023/1645,2023-03-01,40,13,2,12.979986,77.617798,Complainant reported missing persons at BTM Layout. Suspect fled the scene.
115,KSP/2024/7807,2024-07-05,23,12,4,12.96634,77.600577,Anonymous tip received regarding communal offences. Investigation initiated.
116,KSP/2026/5210,2026-04-09,62,3,3,12.970216,77.62997,Anonymous tip received regarding vehicle theft. Investigation initiated.
117,KSP/2025/4696,2025-12-26,87,15,5,12.994394,77.587498,Complainant reported child offences at Whitefield. Suspect fled the scene.
118,KSP/2025/7464,2025-02-10,2,11,3,13.036534,77.614465,Complainant reported land disputes at Mysuru Road. Suspect fled the scene.
119,KSP/2024/7086,2024-03-25,14,5,5,12.954689,77.612932,Patrol unit responded to narcotics call. One suspect apprehended.
120,KSP/2024/2035,2024-10-16,82,11,3,12.908943,77.599984,Patrol unit responded to land disputes call. One suspect apprehended.
121,KSP/2023/5986,2023-03-11,64,13,2,12.905051,77.664548,Complainant reported missing persons at KR Market. Suspect fled the scene.
122,KSP/2025/3531,2025-02-26,54,2,3,12.961331,77.603722,Patrol unit responded to property theft call. One suspect apprehended.
123,KSP/2024/7070,2024-05-19,28,10,2,12.933481,77.616426,Complainant reported eve teasing at Bannerghatta Road. Suspect fled the scene.
124,KSP/2025/6876,2025-02-15,8,8,3,13.014221,77.61459,Patrol unit responded to fraud & cheating call. One suspect apprehended.
125,KSP/2025/4475,2025-11-13,83,7,5,12.996753,77.627419,Complainant reported robbery & dacoity at BTM Layout. Suspect fled the scene.
126,KSP/2023/2124,2023-01-27,98,10,2,13.022836,77.624222,Patrol unit responded to eve teasing call. One suspect apprehended.
127,KSP/2023/5542,2023-04-04,19,9,2,12.844116,77.666921,Patrol unit responded to unlawful assembly call. One suspect apprehended.
128,KSP/2022/6869,2022-03-22,31,15,5,12.842073,77.670095,FIR lodged following child offences incident. Victim sustained minor injuries.
129,KSP/2025/2041,2025-07-31,61,10,2,12.970847,77.602374,Patrol unit responded to eve teasing call. One suspect apprehended.
130,KSP/2023/9543,2023-11-20,39,8,3,12.956116,77.740767,Patrol unit responded to fraud & cheating call. One suspect apprehended.
131,KSP/2025/2768,2025-06-01,63,8,3,13.025893,77.626388,fraud & cheating reported near BTM Layout. CCTV footage under review.
132,KSP/2023/5505,2023-04-06,80,11,3,12.945865,77.616676,Complainant reported land disputes at Whitefield. Suspect fled the scene.
133,KSP/2024/8048,2024-07-05,13,10,2,12.817833,77.720185,eve teasing reported near Electronic City. CCTV footage under review.
134,KSP/2023/4743,2023-10-31,53,13,2,12.95427,77.569198,missing persons reported near Yelahanka. CCTV footage under review.
135,KSP/2025/5176,2025-08-18,48,6,5,12.929407,77.627877,Anonymous tip received regarding murder. Investigation initiated.
136,KSP/2022/2582,2022-09-23,96,15,5,13.015325,77.552056,Complainant reported child offences at Malleshwaram. Suspect fled the scene.
137,KSP/2024/6793,2024-10-21,86,12,4,12.941304,77.633086,Complainant reported communal offences at Malleshwaram. Suspect fled the scene.
138,KSP/2024/6761,2024-06-12,14,14,3,12.974009,77.747441,Patrol unit responded to domestic violence call. One suspect apprehended.
139,KSP/2022/7022,2022-12-03,15,10,2,12.969888,77.598294,Anonymous tip received regarding eve teasing. Investigation initiated.
140,KSP/2022/5381,2022-03-23,4,12,4,12.850094,77.64988,Patrol unit responded to communal offences call. One suspect apprehended.
141,KSP/2022/7566,2022-01-19,9,3,3,12.985049,77.592742,FIR lodged following vehicle theft incident. Victim sustained minor injuries.
142,KSP/2023/8432,2023-10-31,44,3,3,13.046178,77.555755,vehicle theft reported near Malleshwaram. CCTV footage under review.
143,KSP/2022/3579,2022-09-21,97,3,3,12.953702,77.75,Complainant reported vehicle theft at Whitefield. Suspect fled the scene.
144,KSP/2026/7785,2026-02-17,35,10,2,13.018742,77.572879,Patrol unit responded to eve teasing call. One suspect apprehended.
145,KSP/2026/6053,2026-02-20,6,4,4,12.931106,77.630511,Patrol unit responded to assault & violence call. One suspect apprehended.
146,KSP/2023/5186,2023-10-19,38,4,4,13.019549,77.623423,FIR lodged following assault & violence incident. Victim sustained minor injuries.
147,KSP/2025/4770,2025-03-27,65,6,5,12.971425,77.585277,Patrol unit responded to murder call. One suspect apprehended.
148,KSP/2022/8532,2022-05-12,10,9,2,13.012614,77.562971,unlawful assembly reported near KR Market. CCTV footage under review.
149,KSP/2025/7636,2025-07-21,3,13,2,12.818779,77.666504,Anonymous tip received regarding missing persons. Investigation initiated.
150,KSP/2025/2734,2025-01-29,32,15,5,12.98736,77.589217,Complainant reported child offences at Malleshwaram. Suspect fled the scene.
151,KSP/2024/3754,2024-11-20,10,8,3,12.996502,77.75,FIR lodged following fraud & cheating incident. Victim sustained minor injuries.
152,KSP/2024/3419,2024-12-21,31,9,2,12.93905,77.592562,Anonymous tip received regarding unlawful assembly. Investigation initiated.
153,KSP/2022/9095,2022-08-23,60,2,3,12.979795,77.614861,FIR lodged following property theft incident. Victim sustained minor injuries.
154,KSP/2024/8205,2024-10-01,9,12,4,12.957673,77.59075,Anonymous tip received regarding communal offences. Investigation initiated.
155,KSP/2024/6085,2024-12-29,60,8,3,13.02756,77.531775,Patrol unit responded to fraud & cheating call. One suspect apprehended.
156,KSP/2022/9307,2022-10-08,50,8,3,12.974543,77.589379,Patrol unit responded to fraud & cheating call. One suspect apprehended.
157,KSP/2025/4084,2025-10-29,42,8,3,12.848187,77.646189,Patrol unit responded to fraud & cheating call. One suspect apprehended.
158,KSP/2024/3827,2024-12-03,6,10,2,12.951039,77.620191,Complainant reported eve teasing at Electronic City. Suspect fled the scene.
159,KSP/2023/5634,2023-05-09,50,4,4,12.952861,77.75,Anonymous tip received regarding assault & violence. Investigation initiated.
160,KSP/2024/2548,2024-11-05,72,7,5,12.948181,77.734627,Complainant reported robbery & dacoity at Jayanagar. Suspect fled the scene.
161,KSP/2023/3317,2023-04-13,45,11,3,12.972197,77.585568,Anonymous tip received regarding land disputes. Investigation initiated.
162,KSP/2022/7171,2022-09-21,83,5,5,13.017666,77.544289,Anonymous tip received regarding narcotics. Investigation initiated.
163,KSP/2026/7937,2026-06-24,66,13,2,12.946438,77.615288,Complainant reported missing persons at BTM Layout. Suspect fled the scene.
164,KSP/2026/3253,2026-02-19,20,7,5,12.974219,77.75,FIR lodged following robbery & dacoity incident. Victim sustained minor injuries.
165,KSP/2026/6517,2026-06-24,99,2,3,12.980723,77.655284,Complainant reported property theft at BTM Layout. Suspect fled the scene.
166,KSP/2023/7731,2023-05-30,47,10,2,12.845262,77.684811,eve teasing reported near KR Market. CCTV footage under review.
167,KSP/2025/4918,2025-10-26,40,11,3,12.964263,77.611419,FIR lodged following land disputes incident. Victim sustained minor injuries.
168,KSP/2025/5616,2025-09-30,100,15,5,12.968113,77.63441,child offences reported near Mysuru Road. CCTV footage under review.
169,KSP/2023/8873,2023-03-06,48,7,5,12.962221,77.618686,Anonymous tip received regarding robbery & dacoity. Investigation initiated.
170,KSP/2024/3626,2024-06-04,35,9,2,12.988192,77.570477,Complainant reported unlawful assembly at Mysuru Road. Suspect fled the scene.
171,KSP/2023/1436,2023-11-21,54,8,3,12.938407,77.618755,fraud & cheating reported near Jayanagar. CCTV footage under review.
172,KSP/2025/6221,2025-03-10,13,1,4,12.93952,77.672716,FIR lodged following cyber crime incident. Victim sustained minor injuries.
173,KSP/2024/3273,2024-06-10,98,13,2,13.023898,77.543112,missing persons reported near Bannerghatta Road. CCTV footage under review.
174,KSP/2024/9991,2024-03-06,94,11,3,12.941291,77.624701,FIR lodged following land disputes incident. Victim sustained minor injuries.
175,KSP/2023/7878,2023-01-14,82,10,2,12.971609,77.738999,Complainant reported eve teasing at Koramangala. Suspect fled the scene.
176,KSP/2022/4963,2022-02-21,92,13,2,12.960173,77.645387,Patrol unit responded to missing persons call. One suspect apprehended.
177,KSP/2025/2402,2025-07-18,68,3,3,12.961444,77.742551,FIR lodged following vehicle theft incident. Victim sustained minor injuries.
178,KSP/2026/7397,2026-04-27,61,15,5,12.95399,77.591691,Patrol unit responded to child offences call. One suspect apprehended.
179,KSP/2025/4950,2025-01-14,94,1,4,12.952396,77.75,Complainant reported cyber crime at Jayanagar. Suspect fled the scene.
180,KSP/2023/9945,2023-02-19,44,10,2,12.949647,77.582187,Complainant reported eve teasing at Jayanagar. Suspect fled the scene.
181,KSP/2026/3209,2026-01-26,9,13,2,12.974653,77.578113,FIR lodged following missing persons incident. Victim sustained minor injuries.
182,KSP/2023/6080,2023-09-12,66,11,3,13.019795,77.622318,Complainant reported land disputes at Jayanagar. Suspect fled the scene.
183,KSP/2023/1783,2023-08-17,84,7,5,12.95596,77.640682,Anonymous tip received regarding robbery & dacoity. Investigation initiated.
184,KSP/2025/4060,2025-09-28,64,6,5,12.950336,77.617817,murder reported near Jayanagar. CCTV footage under review.
185,KSP/2022/8055,2022-09-14,78,11,3,12.973259,77.738602,land disputes reported near MG Road. CCTV footage under review.
186,KSP/2024/8305,2024-10-15,78,15,5,12.973905,77.613917,Anonymous tip received regarding child offences. Investigation initiated.
187,KSP/2024/5498,2024-12-31,82,11,3,12.956273,77.600237,Patrol unit responded to land disputes call. One suspect apprehended.
188,KSP/2025/3621,2025-02-02,4,15,5,13.029038,77.629706,Patrol unit responded to child offences call. One suspect apprehended.
189,KSP/2022/7001,2022-07-28,47,3,3,12.84068,77.673085,FIR lodged following vehicle theft incident. Victim sustained minor injuries.
190,KSP/2025/2259,2025-02-26,74,7,5,12.822039,77.663129,Anonymous tip received regarding robbery & dacoity. Investigation initiated.
191,KSP/2022/4048,2022-12-19,64,3,3,12.965028,77.75,Complainant reported vehicle theft at Bannerghatta Road. Suspect fled the scene.
192,KSP/2025/5678,2025-10-18,89,9,2,12.929133,77.667467,FIR lodged following unlawful assembly incident. Victim sustained minor injuries.
193,KSP/2025/8292,2025-11-05,12,14,3,12.95627,77.644953,FIR lodged following domestic violence incident. Victim sustained minor injuries.
194,KSP/2022/5757,2022-07-21,39,13,2,13.032191,77.618124,Patrol unit responded to missing persons call. One suspect apprehended.
195,KSP/2025/2988,2025-01-28,26,13,2,13.009185,77.570575,Patrol unit responded to missing persons call. One suspect apprehended.
196,KSP/2025/3126,2025-02-20,79,13,2,12.961616,77.607733,missing persons reported near Mysuru Road. CCTV footage under review.
197,KSP/2026/7708,2026-01-27,74,14,3,12.952483,77.60883,Patrol unit responded to domestic violence call. One suspect apprehended.
198,KSP/2026/3981,2026-05-27,99,2,3,12.999732,77.60721,Anonymous tip received regarding property theft. Investigation initiated.
199,KSP/2023/5982,2023-01-21,22,15,5,12.974089,77.747205,Patrol unit responded to child offences call. One suspect apprehended.
200,KSP/2026/5105,2026-06-01,26,3,3,13.01559,77.655982,Anonymous tip received regarding vehicle theft. Investigation initiated.
201,KSP/2022/3762,2022-10-18,76,10,2,12.848899,77.686019,Patrol unit responded to eve teasing call. One suspect apprehended.
202,KSP/2024/1464,2024-11-14,11,14,3,12.958604,77.574477,Patrol unit responded to domestic violence call. One suspect apprehended.
203,KSP/2025/1496,2025-07-18,64,1,4,13.002515,77.540902,Patrol unit responded to cyber crime call. One suspect apprehended.
204,KSP/2024/8430,2024-01-31,10,14,3,12.831909,77.667101,domestic violence reported near Hebbal. CCTV footage under review.
205,KSP/2024/6121,2024-11-22,92,11,3,12.957138,77.603077,Patrol unit responded to land disputes call. One suspect apprehended.
206,KSP/2025/2739,2025-02-25,41,6,5,13.001467,77.632494,Patrol unit responded to murder call. One suspect apprehended.
207,KSP/2022/7850,2022-06-07,32,4,4,12.963745,77.597174,Anonymous tip received regarding assault & violence. Investigation initiated.
208,KSP/2024/3610,2024-08-29,64,15,5,12.923573,77.617794,FIR lodged following child offences incident. Victim sustained minor injuries.
209,KSP/2022/8491,2022-10-07,31,15,5,12.947955,77.612382,child offences reported near Electronic City. CCTV footage under review.
210,KSP/2026/1133,2026-01-02,14,4,4,12.986455,77.75,Anonymous tip received regarding assault & violence. Investigation initiated.
211,KSP/2025/1838,2025-02-10,73,8,3,12.90641,77.624769,Complainant reported fraud & cheating at Malleshwaram. Suspect fled the scene.
212,KSP/2025/2946,2025-10-31,17,9,2,12.96624,77.75,Patrol unit responded to unlawful assembly call. One suspect apprehended.
213,KSP/2025/9341,2025-02-09,52,15,5,12.9736,77.736788,FIR lodged following child offences incident. Victim sustained minor injuries.
214,KSP/2026/3440,2026-01-11,78,9,2,12.980398,77.60484,Patrol unit responded to unlawful assembly call. One suspect apprehended.
215,KSP/2025/5902,2025-05-05,76,14,3,12.983534,77.589109,Patrol unit responded to domestic violence call. One suspect apprehended.
216,KSP/2024/7035,2024-07-20,43,6,5,12.936924,77.635245,murder reported near KR Market. CCTV footage under review.
217,KSP/2022/5350,2022-03-24,84,11,3,12.986842,77.606558,Patrol unit responded to land disputes call. One suspect apprehended.
218,KSP/2026/7229,2026-02-01,19,12,4,12.968816,77.568761,FIR lodged following communal offences incident. Victim sustained minor injuries.
219,KSP/2023/6139,2023-08-16,54,13,2,12.954887,77.596943,Complainant reported missing persons at Yelahanka. Suspect fled the scene.
220,KSP/2026/3262,2026-01-05,67,3,3,12.968093,77.59383,Complainant reported vehicle theft at Bannerghatta Road. Suspect fled the scene.
221,KSP/2024/9734,2024-09-01,44,4,4,12.960203,77.7343,FIR lodged following assault & violence incident. Victim sustained minor injuries.
222,KSP/2024/4150,2024-04-01,32,9,2,13.037071,77.53425,Patrol unit responded to unlawful assembly call. One suspect apprehended.
223,KSP/2024/9011,2024-06-16,41,5,5,13.015549,77.59189,FIR lodged following narcotics incident. Victim sustained minor injuries.
224,KSP/2024/9899,2024-06-13,49,8,3,12.861886,77.667401,Complainant reported fraud & cheating at HSR Layout. Suspect fled the scene.
