AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID
78,4988,Hemangini Rai,25,1
79,676,Darika Chandra,56,1
80,4313,Theodore Varughese,24,1
81,2569,Chandani Kumar,34,1
82,2569,Jeevika Cheema,59,2
83,2589,Siddharth Sem,33,1
84,2589,Vedika Bose,49,1
85,2589,Abhimanyu Mishra,31,1
86,2589,Balveer Saxena,49,1
87,816,Jyoti Kumar,18,1
88,816,Sarthak Dar,20,1
89,816,David Randhawa,38,2
90,4372,Isha Bora,19,1
91,4372,Kalpit Magar,20,1
92,3421,Chaitaly Srivastava,38,2
93,1789,Yashoda Ganguly,20,1
94,855,Guneet Mani,59,1
95,2769,Kalpit Magar,20,1
96,4026,Aadhya Narula,35,2
97,4026,Chaitaly Srivastava,38,2
98,4026,Harsh Luthra,50,1
99,4026,Vinaya Vaidya,57,1
100,1705,Gagan Mani,55,1
101,1705,Azaan Gaba,59,1
102,3433,Guneet Chander,37,1
103,3433,Tripti Sane,55,2
104,4141,Dayamai Chahal,40,1
105,1925,Bhanumati Rege,20,1
106,3493,Tejas Sastry,48,1
107,1937,Robert Keer,56,2
108,1937,Omkaar Kothari,35,1
109,1937,Aryan Dugar,20,1
110,2601,Rachita Maharaj,58,1
111,2601,Osha Lad,47,1
112,2601,Aarini Sagar,19,1
113,2601,Noah Krishnamurthy,49,1
114,335,Ethan Bir,47,1
115,1108,Tejas Sastry,48,1
116,1107,Rajata Tank,21,1
117,1107,Damini Maharaj,58,1
118,1107,Jagat Singh,32,1
119,4466,Dev Dani,47,1
120,4466,Ati Ben,53,1
121,1413,Jhalak Tara,42,1
122,1413,Benjamin Cheema,59,1
123,865,Balhaar Jani,27,1
124,2164,Gaurangi Chakrabarti,26,1
125,2164,Kiaan Kapoor,43,1
126,2164,Balhaar Iyengar,44,2
127,2164,Hiral Aurora,25,2
128,2723,Rudra More,30,2
129,2723,Wyatt Nigam,54,2
130,2723,Parth Murty,54,1
131,1853,Isaiah Bassi,48,1
132,1853,Luke Chhabra,44,1
133,2948,Radha Luthra,31,1
134,2948,Ekaja Soni,59,2
135,240,Wakeeta Borra,43,1
136,2347,Aryan Dugar,20,1
137,370,Gagan Mani,55,1
138,3875,Balhaar Iyengar,44,2
139,2444,Hritik Aggarwal,21,1
140,2444,Harsh Luthra,50,1
141,2444,Anirudh Pall,41,1
142,1473,Yuvraj Verma,20,1
143,1473,Kashish Randhawa,41,2
144,1757,Charles Sachdeva,22,1
145,1757,Urishilla Vora,22,2
146,1757,Ijaya Gopal,44,1
147,1766,Ati Ben,53,1
148,2197,Tejas Halder,55,1
149,2197,Ryan Deshmukh,59,1
150,1723,Harsh Luthra,50,1
151,3702,Rachana Balay,37,1
152,3702,Yug Jain,44,1
153,3739,Saanvi Natt,30,1
154,505,Anita Palan,44,1
155,505,Shivansh Kannan,23,2
156,505,Faris Sani,45,1
157,3952,Maanas Zacharia,60,2
158,4883,Hredhaan Sane,39,1
159,4286,Mohammed Sahni,39,2
160,1938,Udarsh Saini,26,2
161,4288,Lopa De,47,1
162,4288,Pallavi Chanda,43,1
163,1815,David Thaman,31,1
164,3242,Aarini Comar,41,2
165,263,Yug Shanker,31,2
166,921,Harsh Luthra,50,1
167,1220,Januja Pingle,49,1
168,4437,Yashawini Rau,20,2
169,4437,Rachita Dada,28,1
170,120,Yash Virk,19,1
171,120,Yatan Pal,18,1
172,2639,Orinder Kari,35,1
173,345,Krishna Viswanathan,34,2
174,345,Chaitanya Lad,43,1
175,4643,Charles Sachdeva,22,1
176,4643,Henry Sampath,51,1
177,2224,Benjamin Cheema,59,1
178,2224,Lavanya Narula,54,1
179,3510,Aahana Bumb,35,2
180,3510,Oscar Saxena,35,1
181,3510,Pallavi Kulkarni,36,1
182,1814,Andrew Rattan,22,1
183,1814,Lucky Pillay,26,1
184,3914,Eta Nair,46,1
185,3914,Bhanumati Rege,20,1
186,3914,Chaitanya Nath,59,2
187,3914,Theodore Magar,28,1
188,2981,Laban D’Alia,51,1
189,1898,Tanish Sankar,39,1
190,1898,Upkaar Merchant,51,1
191,1898,Yuvraj Gill,50,2
192,3279,Om Nagy,57,1
193,3279,Anamika Chander,30,1
194,3279,Hemangini Vala,35,1
195,2988,Krishna Pall,52,1
196,2988,Rushil Khalsa,36,1
197,2988,Jackson Vohra,58,1
198,2756,Jeevika Sama,32,1
199,4343,Chanchal Mangal,42,2
200,4343,Dayita Wali,57,2
201,409,Kalpit Sibal,39,1
202,3998,Chanakya Guha,46,1
203,3998,Daniel Khare,51,1
204,4839,Hemal Murty,54,1
205,4839,Charan Ram,55,1
206,167,Falak Pathak,39,1
207,2551,Aarav Ganesan,60,1
208,904,Yamini Tata,28,1
209,3175,Kai Sampath,18,2
210,3175,Aarav Kapoor,44,1
211,3175,Isaiah Bassi,48,1
212,1270,Manya Bhatti,57,1
213,1270,Dakshesh Warrior,37,1
214,1270,Geetika Butala,44,1
215,3346,Dayamai Minhas,53,2
216,687,Kevin Iyer,20,1
217,4711,Adweta Taneja,39,1
218,944,Aashi Banerjee,43,1
219,455,Umang Tiwari,34,1
220,455,Raghav Kara,42,1
221,455,Wyatt Nigam,54,2
222,1860,Bishakha Mand,51,1
223,1860,Anamika Chander,30,1
224,1860,Lohit Venkatesh,39,2
225,1860,Noah Memon,53,1
226,2831,Yamini Tata,28,1
227,2146,Wishi Bir,51,1
228,2146,Anjali Desai,56,2
229,2146,Shivani Bose,32,1
230,1662,Eta Kaul,49,1
231,1662,Maya Solanki,22,1
232,1129,Aarav Chaudhary,32,2
233,1129,Meghana Goyal,35,2
234,4003,Frado Murthy,27,1
235,775,Neel Oak,35,2
236,775,Bhavya Rajagopalan,30,2
237,364,Charan Ram,55,1
238,364,Noah Bahl,37,1
239,540,Yashasvi Bhardwaj,37,1
240,331,Ryan Deshmukh,59,1
241,331,Kamya Murty,21,1
242,331,Onveer Saran,46,1
243,234,Quincy Bansal,39,1
244,191,Abhiram Karpe,38,1
245,191,Vansha Tripathi,58,1
246,2047,Advay Gopal,59,1
247,2047,Utkarsh Sharma,31,1
248,2047,Jhalak Ravel,35,1
249,4762,Darpan Tata,40,2
250,769,Ansh Kala,32,1
251,2498,Arjun Bhagat,22,1
252,4980,Devika Krish,28,2
253,4980,Forum Varty,33,1
254,283,Rachita Dada,28,1
255,283,Chaaya Sem,46,1
256,2962,Anjali Suresh,21,2
257,2962,Dev Dani,47,1
258,4263,Lajita Amble,34,2
259,1983,Girik Swamy,21,1
260,1983,Logan Saha,27,1
261,4598,Tanish Sundaram,39,2
262,4598,Nidra Batta,45,2
263,3787,Jason Shah,53,1
264,1689,Jagat Patel,18,1
265,3813,Daksha Narang,25,1
266,3418,Jason Mall,35,1
267,3329,Hemal Murty,54,1
268,3473,Dakshesh Lall,40,2
269,3473,Frederick Joshi,45,2
270,1224,Reyansh Gokhale,60,1
271,1155,Tarak Pandey,41,2
272,520,Arin Sura,18,1
273,1655,Nathan Badal,50,2
274,3052,Odika Bajaj,46,1
275,3052,Darika Bhasin,33,1
276,3052,Ishwar Palla,28,1
277,3052,Theodore Magar,28,1
278,2495,Theodore Varughese,24,1
279,2353,Nathaniel Sami,43,1
280,2353,Harinakshi D’Alia,30,1
281,2353,Yasti Shetty,18,1
282,4311,Eesha Mandal,42,2
283,4311,Ubika Dani,28,2
284,547,Tanay Sibal,50,1
285,3567,Arin Sura,18,1
286,3567,Hamsini Nadkarni,22,2
287,3567,Gayathri Jaggi,51,1
288,3273,Nimrat Sood,35,1
289,3273,Laban D’Alia,51,1
290,621,Vedant Mukhopadhyay,33,1
291,621,Aayush Bora,29,2
292,2978,Garima Ram,34,2
293,4482,Aashi Banerjee,43,1
294,4482,Ekbal Salvi,51,1
295,3396,Aryan Natarajan,53,1
296,3396,Lohit Venkatesh,39,2
297,3603,Pranav Bandi,34,2
298,503,Anmol Ghosh,46,2
299,734,Sanya Kalla,53,1
300,4211,Azad Sodhi,23,1
301,1080,Neelima Raval,43,1
302,3309,Zilmil Dave,48,2
303,3309,Tara Batta,51,1
304,2436,Yashodhara Datta,58,2
305,3920,Ayush Wason,25,1
306,3920,Peter Pillay,25,1
307,3920,Charita Kibe,60,1
308,1952,Nitesh Bahl,54,1
309,1952,Frado Kant,43,1
310,3312,Bachittar Shan,29,1
311,3312,Yuvraj Verma,58,1
312,2535,Oviya Sharma,59,2
313,4494,Alexander Dutt,20,2
314,4494,Ishwar Kumer,43,2
315,4494,Yatan Pal,18,1
316,1865,Raghav Kala,47,1
317,1865,Bhavya Kari,52,1
318,4457,Teerth Devan,27,1
319,2420,George Prabhu,57,1
320,3696,Oeshi Ghose,46,1
321,3696,Abha Ben,26,2
322,3397,Nathaniel Pathak,24,2
323,75,Wishi Ben,29,2
324,4392,Ati Din,54,1
325,4392,Ojas Bala,56,2
326,4392,Ekavir Raj,19,1
327,3438,Liam Barman,60,1
328,4090,Wishi Walia,36,1
329,4090,Ria Kothari,43,2
330,4090,Harinakshi Sawhney,33,1
331,1638,Bimala Kuruvilla,28,1
332,2731,Rayaan Ramesh,41,1
333,2731,Qarin Badami,29,2
334,2731,Ryan Deshmukh,59,1
335,2731,Yauvani Dani,37,1
336,4854,Ati Kapur,56,1
337,3956,Ekiya Brahmbhatt,40,2
338,3956,Pranav Vala,46,1
339,3784,Vivaan Nigam,48,1
340,4060,Hardik Keer,26,1
341,2823,Yash Virk,19,1
342,2442,Christopher Cheema,37,1
343,2442,Xalak Chaudhary,30,2
344,2442,Timothy Bhatia,57,1
345,4550,Ucchal Seth,32,1
346,4550,Avi Sarin,44,1
347,320,Chatura Dugar,37,1
348,320,Meera Chhabra,50,2
349,320,Forum Varty,33,1
350,1158,Aarush Randhawa,26,2
351,1158,Devika Gera,30,1
352,1158,Yashasvi Keer,42,2
353,1053,Alka Balakrishnan,55,1
354,1053,Vanya Pandya,26,2
355,4180,Omkaar Sangha,35,1
356,1798,Yashoda Shah,58,1
357,1798,Noah Wali,60,1
358,1798,Urvashi Raju,21,1
359,1798,Arin Sur,50,1
360,719,Girik Bhavsar,53,2
361,719,Hamsini Dhar,27,1
362,719,Vinaya Sengupta,30,1
363,449,Vasana Karan,20,1
364,449,Idika Nagy,60,2
365,449,Gaurav Dave,41,1
366,4628,Meera Magar,45,1
367,4628,Zayyan Goel,21,1
368,4628,Udyati Shenoy,50,1
369,4097,Omkaar Suresh,19,1
370,3671,Raagini Ganesan,35,2
371,3671,Veer Shetty,23,2
372,3671,Mohammed Choudhury,25,2
373,3671,Sanaya Garde,31,2
374,4803,Amol Vora,49,1
375,3599,Ladli Datta,24,1
376,807,Devansh Deshmukh,39,1
377,807,Krishna Baria,59,1
378,807,Chaitanya Oommen,48,1
379,807,Girish Koshy,56,1
380,2138,Ladli Biswas,60,1
381,2138,Riya Aurora,33,1
382,2138,Nidra Batta,45,2
383,2138,Advik Vohra,54,1
384,1984,Ekalinga Grover,54,1
385,1984,Sudiksha Parsa,43,1
386,1984,Chakradhar Hegde,19,2
387,3774,Caleb Goel,51,1
388,3774,Gabriel Ghose,39,2
389,3774,Anjali Wable,31,2
390,3774,Omaja Nagarajan,57,1
391,3376,Advika Sachdeva,58,2
392,2646,Pallavi Radhakrishnan,56,1
393,2505,Arin Sur,50,1
394,4987,Zashil Bumb,41,1
395,228,Vinaya Gopal,19,1
396,3968,Krish Thaker,45,1
397,3439,Vrinda Badami,53,1
398,3439,Jairaj Thaker,59,2
399,3439,Divya Hans,52,1
400,95,Nitesh Srinivasan,49,1
401,95,Lakshmi Om,53,2
402,1470,Widisha Srinivas,24,1
403,978,Indrajit Korpal,36,1
404,978,Diya Handa,58,2
405,4233,Teerth Luthra,36,1
406,4233,Amaira Iyengar,54,1
407,1989,Yashawini Rau,20,2
408,440,Gaurangi Ramanathan,55,1
409,3584,Bimala Sarma,49,1
410,3341,Anay Wali,41,1
411,821,Isaiah Chakrabarti,39,1
412,821,Aachal Chakrabarti,42,1
413,821,Mitesh Upadhyay,34,1
414,821,Utkarsh Basu,34,1
415,3602,Omya Shroff,50,1
416,469,Abhimanyu Dugar,38,2
417,469,Lekha Singhal,58,1
418,2491,Parth Baral,52,1
419,2491,Amara Sankaran,31,1
420,612,Abdul Kunda,58,1
421,4005,Benjamin Rout,53,1
422,1916,Jeevika Doctor,40,1
423,1916,Udarsh Saini,26,2
424,1943,William Deshmukh,22,2
425,1943,Aarav Lal,19,1
426,3569,Varsha Vora,35,1
427,4463,Ryan Deshmukh,59,1
428,1494,Charvi Varty,42,1
429,3249,Lavanya Narula,54,1
430,3249,Zinal Mody,40,1
431,3249,Damyanti Deo,26,1
432,2447,Advika Buch,24,1
433,2447,Omkaar Kota,36,1
434,2546,Nikita Yogi,33,1
435,2048,Chasmum Hegde,41,1
436,4834,Aadhya Narula,35,2
437,3358,Bachittar Srivastava,54,1
438,3358,Sudiksha Master,59,1
439,3200,Watika Babu,25,1
440,3200,Yash Gour,24,1
441,553,Rushil Khalsa,36,1
442,4341,Harita Amble,34,2
443,4341,Chaaya Sem,46,1
444,729,Nilima Morar,26,2
445,729,Indira Bajwa,22,1
446,3210,Gaurang Bhagat,54,1
447,177,Damini Char,58,1
448,691,Chakrika Raju,31,1
449,1954,Tanay Sibal,50,1
450,1954,Anamika Sood,42,1
451,1941,Arunima Dani,59,1
452,1399,Robert Shetty,59,2
453,3981,Abha Das,37,1
454,3981,Jagrati Mital,36,1
455,3981,Benjamin Dhingra,50,1
456,3981,Yatin Vala,60,1
457,607,Peter Bahl,50,1
458,4502,Rohan Natt,59,1
459,4502,Lajita Golla,41,1
460,4502,Udant Natarajan,35,1
461,4913,Hritik Rout,32,1
462,4913,Harrison Viswanathan,46,1
463,3966,Janani Atwal,49,1
464,970,Warhi Babu,21,2
465,2051,Umang Tiwari,34,1
466,1537,Hardik Chaudhary,54,1
467,1537,Aayush Nazareth,23,1
468,4301,Janani Purohit,55,1
469,4216,Girik Jain,57,1
470,4216,Ekta Roy,38,1
471,4216,Jhalak Tara,42,1
472,4216,Krishna Pall,52,1
473,3157,Devansh Desai,48,2
474,4485,Qarin Gala,21,1
475,4485,Aadhya Narula,35,2
476,113,Vedhika Shanker,47,2
477,113,Advik Patel,24,1
478,3417,Bina Bhatt,20,1
479,3714,Yagnesh Tella,25,2
480,1848,Omkaar Sura,42,1
481,300,Wyatt Nigam,54,2
482,252,Dalaja Wagle,22,1
483,252,Oscar Saxena,35,1
484,252,Jhalak Tata,36,1
485,4582,Vedant Chowdhury,36,1
486,4582,Faqid Anand,50,1
487,4582,Brinda Comar,41,1
488,1832,Vedika Bose,49,1
489,1832,Gaurav Ganguly,48,1
490,1832,Faraj Parmar,45,1
491,1847,Nakul Varkey,57,2
492,3032,Udarsh Thakur,51,2
493,1683,Sai Ben,60,1
494,1683,George Ahuja,37,1
495,2373,Yasti Shetty,18,1
496,2457,Eta Sunder,57,1
497,2457,Laksh Radhakrishnan,46,1
498,964,Mekhala Raman,50,1
499,4660,Irya Koshy,29,2
500,488,Harshil Mallick,38,1
501,488,Wridesh Basu,40,1
502,2053,David Randhawa,38,2
503,3182,Isha Viswanathan,48,2
504,3182,Urvashi Doctor,36,1
505,3182,Rishi Pau,41,2
506,1060,Nandini Gaba,26,1
507,1060,Nachiket Baria,37,1
508,2898,Rudra Bhatnagar,22,1
509,4539,Odika Bhatt,60,1
510,4555,Janaki Vaidya,44,1
511,4555,Megha Rattan,47,1
512,3136,Ekaja Dugar,55,1
513,1227,Frado Murthy,27,1
514,3825,Chakrika Gole,26,1
515,2939,Dhriti Swaminathan,25,1
516,574,Jackson Bahl,43,1
517,4076,Forum Varty,33,1
518,2814,Balendra Bava,37,1
519,2814,Guneet Sane,36,1
520,2814,Yasti Bir,31,1
521,3722,Elijah Batta,53,1
522,3722,Ekaja Bal,51,1
523,3722,Nidra Kata,47,1
524,2330,Chandran Memon,49,1
525,3400,Timothy Dugal,21,1
526,3400,Andrew Bhakta,34,2
527,1463,Krish Bahri,37,2
528,1463,Joshua Jani,31,1
529,4908,Jackson Vohra,58,1
530,2028,Barkha Rai,47,1
531,2028,Triveni Sampath,22,1
532,1315,Shivansh Saraf,46,1
533,1315,Vanya Gade,46,1
534,1000,Naveen Nadig,51,1
535,1000,Isaac Chakraborty,26,1
536,2550,Anthony Edwin,59,1
537,4603,Tanmayi Goda,51,1
538,187,Manya Mand,36,1
539,2650,Anvi Krish,58,2
540,1935,Karan Som,46,1
541,1935,Arjun Sood,19,1
542,4483,Jagdish Samra,48,2
543,4483,Ekani Ganguly,37,1
544,3308,Reyansh Mital,19,2
545,1005,Farhan Saxena,34,1
546,3410,Kiaan Chandran,55,1
547,2606,Vanya Patel,53,1
548,2606,Zarna Raman,26,1
549,3027,Gaurika Tiwari,59,2
550,4740,Nisha Varma,24,1
551,2983,Teerth Deep,45,1
552,2041,Ethan Misra,27,2
553,2041,Januja Dora,31,1
554,2041,Arunima Chahal,26,2
555,2842,Henry Sampath,51,1
556,732,Hitesh Ram,54,1
557,4752,Wakeeta Walia,28,1
558,1903,Banjeet Guha,24,1
559,1903,Omya Sastry,44,1
560,1903,Champak Mannan,32,1
561,1903,Yauvani Panchal,21,1
562,185,Rayaan Sagar,54,1
563,185,Nihal Parikh,57,1
564,185,Victor Wagle,41,1
565,185,Pratyush Raju,40,1
566,708,Ucchal Prasad,58,1
567,708,Pallavi Chaudhry,39,2
568,708,Darsh Mitter,35,1
569,1919,Neelima Karan,55,2
570,1639,Daksha Hegde,19,2
571,3068,Ladli Sathe,20,1
572,3068,Prisha Chahal,43,1
573,20,Abdul Gulati,44,1
574,4356,Eta Kaul,49,1
575,4356,Odika Bhatt,60,1
576,4356,Atharv Dani,25,1
577,2845,Ayush Balakrishnan,54,1
578,2955,Daniel Mukhopadhyay,32,1
579,713,Triveni Choudhary,35,2
580,2679,Brinda Prashad,20,2
581,3951,Chandran Barad,20,2
582,3835,Yoshita Samra,53,1
583,626,Girik Pandit,39,2
584,626,Manya Rajagopal,43,1
585,2574,Ishita Pall,43,1
586,1694,Pahal Sanghvi,59,1
587,1239,Jhalak Kamdar,31,2
588,1239,Dayamai Mahal,51,1
589,1239,Sai Ben,60,1
590,933,Geetika Rajagopal,29,1
591,1229,Rohan Dass,51,1
592,1229,Chakrika Sanghvi,28,1
593,3453,Mohini Yogi,35,1
594,398,Jairaj Thaker,59,2
595,398,Urvashi Hegde,29,1
596,3627,Kamya Seshadri,53,1
597,3627,Guneet Sane,36,1
598,3339,Yadavi Pillay,28,1
599,3290,Omya Natarajan,38,1
600,3041,Chakrika Nazareth,30,1
601,421,Xavier Pandey,40,2
602,421,Vrinda Sandhu,37,1
603,4168,Dhriti Rastogi,20,1
604,141,Chaitaly Srivastava,38,2
605,141,Warinder Narang,45,1
606,3863,Ranveer Chaudhari,34,1
607,3863,Saanvi Saraf,20,2
608,2869,Triveni Andra,20,1
609,4686,Idika Bal,20,1
610,4686,Qadim Som,44,2
611,814,Abha Dhillon,46,2
612,814,Ishani Sodhi,35,1
613,814,Nitara Wable,38,2
614,1725,Qarin Badami,29,2
615,1725,Anthony Borra,40,2
616,1725,Gaurav Dave,41,1
617,2879,Tarak Bali,43,1
618,1377,Vivaan Ramakrishnan,43,1
619,4486,Mekhala Raman,50,1
620,702,Arin Devi,29,1
621,4832,Bahadurjit Krish,29,2
622,4832,Nandini Handa,43,1
623,1703,Darika Sehgal,26,2
624,1703,Nisha Parsa,40,1
625,1703,Bina Chandra,53,1
626,819,Yoshita Yohannan,42,1
627,819,Warda Nair,49,1
628,2585,Karan Dyal,41,2
629,2585,Tamanna Bora,51,2
630,4122,Aadhya Buch,18,1
631,4122,Nandini Rajagopal,33,2
632,4122,Leena Doshi,50,1
633,3218,Harsh Choudhry,50,1
634,3218,Dhriti Bhardwaj,25,1
635,3218,Ayush Ben,29,2
636,3030,Tarak Shah,59,1
637,3684,Vasana Karan,20,1
638,3684,Dakshesh Sandal,39,1
639,746,Radhika Ramaswamy,27,1
640,2439,Vyanjana Golla,44,1
641,3169,Atharv Bhalla,18,1
642,1010,Chasmum Amble,32,1
643,1010,Sarthak Dar,20,1
644,920,Darpan Kumar,48,1
645,920,Chasmum Pradhan,49,2
646,103,Onkar Dhar,27,1
647,519,Tanay Walla,57,1
648,519,Ekani Bansal,34,1
649,519,Libni Sane,26,1
650,519,Nitesh Rege,33,2
651,2261,Samesh Saran,50,1
652,2261,Rohan Sahni,19,1
653,4433,Raagini Varma,23,2
654,1682,Krishna Nagarajan,50,1
655,1682,Om Banik,44,2
656,874,Faraj Parmar,45,1
657,874,Ethan Mander,19,1
658,1918,Girik Bhavsar,53,2
659,1918,Aarna Korpal,32,1
660,1444,Yatan Pal,18,1
661,1687,Jonathan Badami,26,1
662,1687,Pushti Biswas,34,1
663,3568,Alka Mitter,48,1
664,239,Dayita Wali,57,2
665,239,Urvi Bahri,33,1
666,239,Wishi Walia,36,1
667,2079,Chatresh Brahmbhatt,30,2
668,1724,Daksh Deep,46,1
669,2774,Manya Singhal,43,1
670,2660,Chanakya Krishnan,22,1
671,2660,Jagvi Wadhwa,29,2
672,4158,Jason Grewal,38,2
673,3652,Bakhshi Master,45,2
674,4826,Ladli Sawhney,39,2
675,178,Omkaar Sangha,35,1
676,2894,Samuel Gara,48,1
677,93,Anthony Narain,31,2
678,93,Orinder Kari,35,1
679,1183,Amrita Deshpande,54,1
680,1161,Simon Chakrabarti,43,1
681,1161,Krishna Nagarajan,21,2
682,2305,Yochana Chada,60,2
683,2305,Timothy Verma,22,2
684,2305,Idika Vaidya,44,1
685,4905,Qarin Raja,55,1
686,1120,Ira Banik,44,1
687,1120,Madhav Deo,29,1
688,1120,Jackson Buch,37,1
689,1120,Lakshmi Ganesan,40,1
690,2515,Chakrika Narasimhan,60,1
691,2515,Edhitha Koshy,34,2
692,2515,Fitan Suresh,24,2
693,2615,Aarav Bora,49,1
694,4235,Aadhya Dani,35,1
695,4235,Andrew Bhakta,34,2
696,3973,Simon Tailor,59,1
697,299,Baljiwan Hora,48,1
698,299,Isaiah Raja,60,1
699,4688,Aachal Pal,32,1
700,4688,Zilmil Ram,47,1
701,4688,Omkaar Kothari,35,1
702,134,Chatura Narasimhan,33,1
703,134,Ucchal Devan,50,1
704,1069,Januja Banik,19,1
705,392,Siddharth Grewal,23,2
706,2293,Jeet Mallick,30,2
707,750,Barkha Srinivasan,22,1
708,750,Priya Kala,56,1
709,3803,Kamya Murty,21,1
710,3803,Sneha Dutta,30,2
711,4657,Warda Pillay,40,2
712,1531,Chaitaly Bal,58,1
713,1531,Zansi Kala,28,1
714,1531,Nakul Varkey,57,2
715,2741,Maanav Choudhury,27,1
716,4185,Fiyaz Kaul,52,1
717,1093,Hardik Sahni,34,1
718,1093,Girindra Rama,20,1
719,1093,Pavani Cherian,37,1
720,3886,Diya Badal,54,2
721,3858,Matthew Joshi,60,1
722,3858,Nandini Gandhi,45,1
723,3858,Qadim Dhingra,36,1
724,3858,Raksha Mitra,37,1
725,3053,Vrishti Sharaf,30,1
726,3053,Ojas Sen,45,1
727,3989,Chameli Nayak,36,2
728,4872,Nandini Gaba,26,1
729,4029,Laksh Raval,32,1
730,231,Damini Pandya,33,1
731,1278,Mitali Atwal,34,1
732,266,Patrick Batta,41,2
733,1320,Dayita Pandya,47,2
734,1320,Shivani Gill,56,1
735,1320,Abhimanyu Dugar,38,2
736,2547,Ira Lala,26,2
737,117,Mitesh Thakkar,21,1
738,1355,Falguni Gade,30,1
739,1355,Shivansh Deshmukh,24,1
740,1104,Eesha Oommen,58,1
741,1104,Udyati Varughese,53,1
742,1104,Vedika Chatterjee,34,1
743,4805,Urvashi Doctor,36,1
744,4805,Maya Solanki,22,1
745,2404,Anita Om,46,2
746,2313,Utkarsh Sharma,31,1
747,3856,Zilmil Parekh,36,1
748,3856,Waida Barad,35,1
749,3856,Madhavi Suresh,47,1
750,1972,Chakradev Sethi,40,1
751,3852,Netra Bhat,55,1
752,3852,Charles Rattan,40,2
753,3852,Pavani Jain,57,1
754,954,Dayamai Manda,21,1
755,1595,Keya Arya,50,2
756,2603,Hiral Aurora,25,2
757,4183,Vrinda Mangat,45,1
758,2808,Amruta Behl,37,1
759,3996,Osha Borra,60,1
760,1314,Kala Chaudhari,47,2
761,1314,Kavya Sur,33,1
762,3860,Shivansh Chaudhry,60,1
763,3860,Omkaar Kota,36,1
764,1738,Rohan Manne,32,1
765,1738,Adya Dave,44,1
766,3132,Vedant Mukhopadhyay,33,1
767,3132,Neel Dara,45,1
768,4886,Vidhi Chawla,56,2
769,3354,Tara Bhandari,35,2
770,273,Jai Halder,54,1
771,273,Arin Bir,60,1
772,273,Janani Bahl,44,1
773,1366,Radha Sahota,47,1
774,1366,Lucky Vaidya,38,1
775,1366,Wishi Dave,46,1
776,322,Balvan Srivastava,37,2
777,322,Vanya Patel,53,1
778,4952,Vinaya Vaidya,57,1
779,4952,Forum Gaba,40,1
780,4556,Jackson Date,20,1
781,4556,Samesh More,42,1
782,2510,Manan Dhar,41,1
783,2510,Irya Rout,50,1
